Session_Connection_Time,Bytes Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed,hack
8.0,391.09,1,2.96,7.0,Slovenia,72.37,1
20.0,720.99,0,3.04,9.0,British Virgin Islands,69.08,1
31.0,356.32,1,3.71,8.0,Tokelau,70.58,1
2.0,228.08,1,2.48,8.0,Bolivia,70.8,1
20.0,408.5,0,3.57,8.0,Iraq,71.28,1
1.0,390.69,1,2.79,9.0,Marshall Islands,71.57,1
18.0,342.97,1,5.1,7.0,Georgia,72.32,1
22.0,101.61,1,3.03,7.0,Timor-Leste,72.03,1
15.0,275.53,1,3.53,8.0,Palestinian Territory,70.17,1
12.0,424.83,1,2.53,8.0,Bangladesh,69.99,1
15.0,249.09,1,3.39,9.0,Northern Mariana Islands,70.77,1
32.0,242.48,0,4.24,8.0,Zimbabwe,67.93,1
23.0,514.54,0,3.18,8.0,Isle of Man,68.56,1
9.0,284.77,0,3.12,9.0,Sao Tome and Principe,70.82,1
27.0,779.25,1,2.37,8.0,Greece,72.73,1
12.0,307.31,1,3.22,7.0,Solomon Islands,67.95,1
21.0,355.94,1,2.0,7.0,Guinea-Bissau,72.0,1
10.0,372.65,0,3.33,7.0,Burkina Faso,69.19,1
20.0,347.23,1,2.33,7.0,Mongolia,70.41,1
22.0,456.57,0,1.52,8.0,Nigeria,69.35,1
25.0,582.03,0,3.29,7.0,Kazakhstan,69.85,1
19.0,67.17,0,3.25,7.0,Faroe Islands,69.73,1
16.0,410.08,1,3.07,8.0,Lebanon,68.49,1
18.0,393.15,0,2.25,8.0,Guyana,70.87,1
34.0,11.04,0,2.31,8.0,Botswana,72.0,1
30.0,309.84,0,3.8,9.0,Zambia,70.98,1
20.0,415.39,1,3.47,7.0,Mexico,69.98,1
23.0,537.94,1,2.96,7.0,Mongolia,68.74,1
21.0,206.31,0,2.75,8.0,Gibraltar,68.82,1
20.0,192.85,1,2.21,8.0,Bhutan,73.1,1
28.0,311.81,0,2.05,8.0,Mayotte,69.29,1
19.0,429.56,1,2.95,8.0,Guernsey,68.94,1
19.0,472.38,0,1.54,8.0,Saint Barthelemy,70.82,1
26.0,607.31,0,1.55,7.0,Cambodia,72.2,1
18.0,566.97,1,2.82,7.0,Tuvalu,71.37,1
33.0,364.88,0,3.52,7.0,Philippines,74.24,1
21.0,169.89,0,4.78,9.0,Armenia,67.93,1
20.0,287.06,1,1.71,8.0,Nicaragua,71.75,1
29.0,225.58,0,3.4,8.0,Mauritania,71.25,1
16.0,522.88,1,3.71,8.0,Algeria,72.74,1
21.0,337.15,1,3.9,8.0,Azerbaijan,71.47,1
15.0,275.09,0,2.5,9.0,Algeria,72.95,1
20.0,60.16,0,3.81,8.0,Sri Lanka,69.97,1
23.0,358.54,1,2.25,8.0,Nauru,73.1,1
8.0,231.64,0,2.97,8.0,Palestinian Territory,67.08,1
22.0,274.24,1,2.1,8.0,Heard Island and McDonald Islands,68.81,1
29.0,372.86,0,1.77,8.0,Mauritania,70.63,1
20.0,710.55,0,3.71,8.0,Christmas Island,70.37,1
16.0,89.49,1,1.8,8.0,Holy See (Vatican City State),74.92,1
11.0,447.05,0,2.67,7.0,Haiti,69.95,1
15.0,628.38,1,2.9,8.0,Japan,71.81,1
9.0,430.16,0,3.41,9.0,Syrian Arab Republic,72.26,1
2.0,343.1,1,2.74,8.0,Albania,70.64,1
13.0,416.9,1,2.76,8.0,United States Virgin Islands,71.63,1
9.0,549.52,1,5.11,9.0,Guernsey,70.4,1
25.0,369.0,0,3.05,7.0,Israel,70.68,1
22.0,184.63,0,3.45,8.0,Czech Republic,68.27,1
7.0,10.0,1,3.71,8.0,Sri Lanka,70.09,1
21.0,270.53,0,4.2,8.0,Bhutan,70.28,1
18.0,385.3,0,3.3,9.0,Malaysia,68.36,1
4.0,295.79,0,2.75,8.0,Maldives,73.15,1
15.0,322.91,0,2.72,7.0,Norway,69.02,1
16.0,316.42,0,3.39,9.0,South Africa,70.89,1
12.0,538.03,1,3.03,8.0,Afghanistan,71.55,1
13.0,252.2,1,3.54,8.0,Australia,67.69,1
9.0,281.56,1,2.04,9.0,Saint Kitts and Nevis,71.7,1
14.0,110.81,0,3.1,8.0,Jamaica,70.93,1
26.0,361.16,0,3.62,8.0,Tajikistan,69.49,1
28.0,179.55,1,2.4,8.0,Azerbaijan,70.57,1
17.0,499.16,1,3.75,6.0,Moldova,69.75,1
10.0,273.77,1,2.64,7.0,Lebanon,71.15,1
21.0,52.79,0,2.13,7.0,Equatorial Guinea,69.21,1
19.0,354.24,0,3.4,6.0,Turkey,70.26,1
18.0,635.81,0,3.43,7.0,Slovenia,74.01,1
12.0,428.8,1,2.22,7.0,Congo,72.65,1
30.0,366.5,1,2.81,8.0,Brunei Darussalam,71.25,1
8.0,365.62,0,1.56,7.0,South Georgia and the South Sandwich Islands,69.22,1
18.0,373.36,0,3.92,7.0,Holy See (Vatican City State),72.95,1
24.0,534.74,1,3.25,8.0,Iran,72.19,1
8.0,64.83,0,3.58,8.0,Saudi Arabia,70.21,1
26.0,354.77,0,3.26,8.0,Netherlands Antilles,71.43,1
11.0,508.87,1,2.56,8.0,Botswana,71.15,1
14.0,331.49,1,2.35,9.0,Zambia,70.23,1
22.0,404.57,0,1.82,8.0,Bouvet Island (Bouvetoya),69.74,1
13.0,518.68,1,2.87,7.0,Netherlands,72.01,1
22.0,494.63,1,2.4,8.0,Belarus,71.02,1
19.0,104.67,1,1.34,9.0,Cyprus,70.44,1
22.0,106.26,1,2.81,8.0,Netherlands Antilles,69.51,1
13.0,91.86,1,5.07,8.0,Yemen,69.43,1
14.0,257.35,0,2.17,7.0,Uzbekistan,68.71,1
4.0,459.64,0,3.09,7.0,Ecuador,69.27,1
20.0,651.24,0,1.13,8.0,Saint Barthelemy,68.84,1
30.0,23.3,0,3.54,7.0,Sao Tome and Principe,68.75,1
14.0,499.13,0,4.6,8.0,Haiti,72.04,1
18.0,39.13,0,2.0,9.0,Romania,71.28,1
34.0,320.47,0,3.76,8.0,Montenegro,70.67,1
4.0,458.36,0,1.25,8.0,Czech Republic,70.8,1
22.0,613.04,1,3.77,8.0,Niue,71.02,1
21.0,445.02,1,3.9,8.0,Saint Pierre and Miquelon,72.83,1
17.0,623.48,1,3.37,8.0,Mayotte,71.96,1
19.0,253.39,0,2.66,8.0,Saint Vincent and the Grenadines,75.0,1
27.0,664.85,1,3.74,7.0,Kyrgyz Republic,70.24,1
13.0,84.83,0,2.13,9.0,South Africa,71.89,1
14.0,526.84,1,4.14,8.0,Japan,72.18,1
22.0,468.35,1,4.11,7.0,New Zealand,70.28,1
20.0,271.97,1,3.38,8.0,United States Virgin Islands,73.17,1
13.0,449.15,1,3.33,7.0,Central African Republic,69.41,1
10.0,256.61,0,4.26,7.0,Belize,70.09,1
17.0,504.41,1,3.23,9.0,Seychelles,72.23,1
17.0,408.08,0,4.52,8.0,Sri Lanka,69.52,1
30.0,251.69,0,3.87,7.0,United States Minor Outlying Islands,68.24,1
18.0,345.83,0,5.32,8.0,Dominican Republic,72.16,1
12.0,345.41,1,3.53,9.0,Portugal,69.84,1
26.0,339.11,0,2.1,7.0,Trinidad and Tobago,72.09,1
8.0,857.01,0,1.0,7.0,Western Sahara,69.53,1
15.0,510.61,1,1.61,8.0,Grenada,70.63,1
11.0,449.09,0,4.22,7.0,Saint Lucia,69.09,1
28.0,336.36,1,3.06,8.0,Faroe Islands,69.13,1
14.0,640.86,0,4.1,8.0,Ethiopia,70.01,1
20.0,429.64,0,2.47,8.0,Sweden,71.75,1
22.0,348.41,0,2.3,9.0,Uruguay,68.37,1
8.0,752.49,0,4.11,9.0,Tokelau,70.41,1
12.0,517.46,1,3.24,7.0,Tanzania,74.17,1
25.0,456.28,1,4.07,8.0,Serbia,71.51,1
18.0,200.83,0,4.66,8.0,Ukraine,70.56,1
13.0,379.95,1,1.44,8.0,Turks and Caicos Islands,69.61,1
18.0,512.83,1,3.31,9.0,Slovakia (Slovak Republic),71.0,1
32.0,340.49,1,3.82,8.0,Switzerland,70.86,1
18.0,118.03,1,3.21,7.0,Australia,73.79,1
15.0,447.83,0,2.6,8.0,United States Virgin Islands,71.24,1
8.0,372.05,0,3.13,8.0,Antigua and Barbuda,69.18,1
6.0,370.45,1,2.72,8.0,Philippines,68.33,1
7.0,178.56,0,4.18,8.0,Sweden,72.42,1
14.0,366.49,0,2.56,9.0,China,70.16,1
10.0,401.85,0,3.93,8.0,New Caledonia,68.73,1
13.0,485.85,0,5.25,8.0,Luxembourg,69.13,1
19.0,868.5,1,3.7,8.0,Malawi,73.46,1
6.0,567.16,1,5.05,8.0,Hungary,69.04,1
18.0,419.12,0,4.11,8.0,Palestinian Territory,70.98,1
20.0,288.32,1,2.71,8.0,Greece,70.31,1
15.0,422.47,1,3.01,8.0,Benin,71.3,1
15.0,548.83,1,3.78,7.0,Bahamas,68.53,1
24.0,334.41,0,4.27,7.0,Ethiopia,69.94,1
16.0,300.7,0,2.94,8.0,Kyrgyz Republic,69.47,1
17.0,334.8,1,2.51,8.0,Netherlands,73.38,1
5.0,378.46,1,5.17,8.0,Samoa,72.32,1
15.0,392.11,0,4.54,8.0,Kuwait,67.32,1
31.0,600.84,1,4.52,8.0,Austria,70.63,1
27.0,474.87,0,2.12,7.0,Saint Barthelemy,69.44,1
19.0,724.8,0,2.82,8.0,Turkmenistan,71.72,1
27.0,171.73,1,2.07,8.0,Bouvet Island (Bouvetoya),70.97,1
18.0,374.74,1,4.92,7.0,Denmark,69.45,1
16.0,725.51,0,2.07,8.0,Kenya,70.57,1
12.0,75.53,0,3.73,8.0,Wallis and Futuna,69.77,1
21.0,202.83,1,2.6,8.0,Bhutan,67.95,1
34.0,392.47,0,2.31,8.0,Reunion,72.16,1
23.0,499.24,1,3.76,8.0,Cook Islands,72.45,1
21.0,701.52,0,2.95,8.0,Saint Lucia,68.92,1
11.0,125.69,1,2.33,7.0,Ukraine,69.3,1
13.0,218.71,0,3.2,7.0,Niue,67.31,1
22.0,623.58,1,3.53,7.0,Morocco,70.59,1
12.0,393.84,1,2.57,7.0,Cook Islands,72.17,1
19.0,449.53,1,4.93,7.0,Lao People's Democratic Republic,69.79,1
17.0,602.46,1,4.87,9.0,Sudan,70.26,1
17.0,272.34,0,3.83,9.0,Norway,70.07,1
18.0,181.78,0,2.76,9.0,Cambodia,72.51,1
21.0,434.82,1,2.43,8.0,Thailand,72.04,1
46.0,479.77,1,7.58,14.0,Liechtenstein,45.91,0
35.0,871.76,1,7.38,15.0,Mauritania,45.08,0
42.0,797.74,0,7.58,14.0,Russian Federation,46.24,0
36.0,793.45,0,7.18,13.0,Macedonia,45.9,0
41.0,832.71,1,9.22,14.0,Belize,42.43,0
41.0,766.67,0,6.73,14.0,Svalbard & Jan Mayen Islands,44.71,0
47.0,592.93,1,6.65,13.0,United States Virgin Islands,47.15,0
37.0,841.34,0,5.9,13.0,Isle of Man,45.57,0
38.0,984.63,1,6.88,14.0,Zimbabwe,43.34,0
27.0,874.26,0,7.05,14.0,Anguilla,45.72,0
51.0,1051.27,0,8.12,15.0,Netherlands Antilles,46.47,0
30.0,460.6,0,7.15,14.0,French Southern Territories,45.57,0
37.0,779.05,1,7.46,13.0,Hong Kong,43.64,0
42.0,869.04,0,6.45,15.0,Saint Helena,41.27,0
49.0,905.5,1,8.3,13.0,Iran,43.33,0
48.0,718.61,1,6.36,13.0,Tuvalu,41.85,0
39.0,1021.2,0,9.09,14.0,Montserrat,43.85,0
50.0,855.74,1,7.39,14.0,Costa Rica,43.72,0
45.0,1057.61,0,7.54,14.0,Malawi,44.28,0
46.0,765.98,1,8.5,14.0,Micronesia,43.58,0
35.0,717.42,0,5.08,14.0,Brunei Darussalam,46.92,0
40.0,774.59,0,6.94,14.0,Tunisia,43.36,0
31.0,905.1,0,6.27,15.0,Libyan Arab Jamahiriya,45.33,0
48.0,957.19,1,6.95,13.0,Guyana,43.43,0
32.0,563.64,0,7.13,13.0,Cameroon,45.99,0
39.0,852.69,1,7.9,14.0,Trinidad and Tobago,45.7,0
53.0,992.47,1,7.88,14.0,Nicaragua,43.3,0
29.0,1273.04,0,6.67,14.0,Slovakia (Slovak Republic),44.36,0
42.0,921.8,0,7.72,13.0,Ethiopia,46.14,0
51.0,904.86,1,8.35,14.0,Bulgaria,43.25,0
37.0,634.7,1,7.4,14.0,Ecuador,44.25,0
36.0,831.48,1,6.49,14.0,Trinidad and Tobago,44.67,0
38.0,574.09,1,8.1,14.0,Mauritania,43.34,0
30.0,797.62,0,7.55,13.0,India,42.08,0
28.0,716.01,1,8.86,14.0,Estonia,44.46,0
39.0,485.16,0,7.84,14.0,Grenada,42.35,0
51.0,737.22,1,7.74,14.0,Armenia,45.02,0
46.0,925.89,1,8.51,14.0,Antigua and Barbuda,44.34,0
60.0,836.68,1,7.45,13.0,Comoros,41.41,0
48.0,844.2,1,8.08,14.0,Lithuania,45.93,0
42.0,805.38,0,6.72,13.0,Congo,40.57,0
52.0,669.21,1,7.35,13.0,Bangladesh,46.26,0
33.0,1019.94,0,6.46,14.0,Isle of Man,45.45,0
51.0,1243.86,0,6.26,14.0,Antigua and Barbuda,44.78,0
45.0,846.68,0,9.98,15.0,French Southern Territories,42.24,0
36.0,1056.69,1,6.11,14.0,United States Minor Outlying Islands,42.48,0
48.0,934.01,1,7.97,14.0,United States Minor Outlying Islands,44.58,0
52.0,660.79,1,8.08,13.0,Venezuela,44.67,0
36.0,555.32,0,6.59,14.0,Grenada,44.3,0
47.0,664.28,1,5.92,14.0,Switzerland,42.75,0
37.0,828.68,0,6.63,14.0,Saint Martin,42.27,0
37.0,855.17,1,8.68,14.0,Indonesia,45.0,0
46.0,640.06,0,6.89,14.0,Cocos (Keeling) Islands,44.48,0
39.0,596.69,0,8.73,14.0,Gabon,42.1,0
48.0,776.02,1,8.63,14.0,Palestinian Territory,44.58,0
36.0,821.21,0,6.35,14.0,Saint Pierre and Miquelon,48.6,0
35.0,828.09,1,7.14,15.0,Martinique,45.25,0
40.0,874.47,0,7.83,14.0,Russian Federation,45.02,0
55.0,686.47,1,7.5,13.0,Syrian Arab Republic,43.12,0
49.0,1019.63,0,7.65,13.0,Jordan,44.36,0
45.0,805.67,1,6.71,15.0,Madagascar,40.74,0
42.0,972.14,1,7.04,14.0,Northern Mariana Islands,44.24,0
44.0,1045.32,0,7.03,14.0,Guinea-Bissau,44.22,0
43.0,780.66,0,7.16,14.0,Burkina Faso,44.06,0
46.0,783.48,1,7.82,14.0,British Virgin Islands,43.09,0
36.0,594.29,0,7.14,15.0,Falkland Islands (Malvinas),43.2,0
38.0,959.81,1,7.84,13.0,China,41.54,0
40.0,413.92,1,6.93,15.0,Netherlands,40.76,0
48.0,1040.38,0,7.17,15.0,Reunion,42.33,0
47.0,814.26,1,7.16,13.0,Philippines,42.76,0
28.0,887.3,0,7.49,12.0,Northern Mariana Islands,43.35,0
49.0,1081.16,0,5.73,14.0,Burkina Faso,45.49,0
39.0,861.74,1,6.82,14.0,United Kingdom,41.61,0
42.0,717.05,1,7.6,13.0,Korea,44.96,0
43.0,952.19,1,7.06,13.0,Sudan,44.15,0
37.0,581.9,0,6.44,14.0,Guinea-Bissau,44.28,0
40.0,930.52,0,8.47,13.0,Uzbekistan,42.65,0
35.0,669.51,0,7.12,14.0,Kiribati,45.94,0
31.0,844.64,1,7.48,14.0,Timor-Leste,41.86,0
43.0,859.48,1,7.02,14.0,Costa Rica,46.0,0
41.0,752.95,0,9.37,14.0,Heard Island and McDonald Islands,46.52,0
49.0,965.09,0,8.19,13.0,Saint Kitts and Nevis,47.08,0
49.0,704.64,0,7.96,14.0,Benin,45.34,0
44.0,948.6,1,7.89,14.0,United Arab Emirates,44.01,0
45.0,1077.69,1,8.33,13.0,Norway,44.83,0
43.0,881.46,0,7.64,14.0,Czech Republic,43.79,0
38.0,916.41,1,8.13,13.0,Malaysia,43.81,0
33.0,589.62,1,7.52,13.0,Saint Helena,44.11,0
41.0,808.67,1,7.41,14.0,Georgia,45.21,0
46.0,757.14,1,6.09,14.0,Oman,40.77,0
57.0,898.29,1,5.95,14.0,Netherlands,41.15,0
46.0,921.99,0,9.74,14.0,Singapore,40.0,0
52.0,957.47,1,6.37,14.0,Taiwan,41.04,0
50.0,535.88,0,7.16,14.0,Grenada,42.39,0
35.0,1018.53,1,7.75,14.0,Cyprus,45.79,0
40.0,842.59,1,6.41,14.0,Bahamas,43.32,0
34.0,878.07,0,7.65,15.0,Cook Islands,42.87,0
44.0,946.83,0,8.27,13.0,Egypt,44.39,0
45.0,1081.75,1,5.66,13.0,Macao,44.69,0
52.0,970.78,1,6.97,13.0,Cape Verde,42.84,0
31.0,823.61,0,7.35,14.0,Sri Lanka,47.0,0
47.0,853.6,0,7.4,15.0,British Indian Ocean Territory (Chagos Archipelago),47.16,0
55.0,595.19,0,8.04,14.0,Western Sahara,45.14,0
40.0,816.29,1,8.71,13.0,Syrian Arab Republic,44.36,0
40.0,1024.68,1,8.29,15.0,Czech Republic,46.24,0
45.0,921.05,0,5.82,13.0,Togo,43.01,0
42.0,500.49,0,8.21,12.0,Sweden,43.7,0
42.0,978.74,1,8.43,14.0,French Polynesia,45.45,0
45.0,756.64,0,8.12,13.0,Iraq,42.95,0
50.0,1105.8,1,6.69,14.0,Moldova,45.61,0
52.0,749.56,1,7.2,14.0,Dominican Republic,44.04,0
31.0,962.5,1,6.54,14.0,Czech Republic,44.5,0
41.0,871.18,1,6.89,14.0,Christmas Island,45.88,0
55.0,804.37,1,10.0,13.0,Cuba,43.74,0
33.0,916.74,1,6.96,14.0,Pitcairn Islands,42.5,0
38.0,546.22,1,7.72,14.0,Ukraine,40.58,0
45.0,952.8,1,7.4,14.0,Switzerland,46.02,0
42.0,603.0,0,6.51,13.0,Greece,42.04,0
33.0,709.34,1,7.42,14.0,Burundi,42.49,0
38.0,407.63,0,7.68,14.0,Palau,48.11,0
40.0,920.82,1,8.52,14.0,Macao,47.97,0
43.0,712.2,1,7.5,13.0,Papua New Guinea,41.72,0
56.0,1190.87,0,5.77,14.0,Reunion,45.16,0
47.0,897.11,0,8.33,15.0,Rwanda,45.4,0
32.0,799.24,1,7.19,14.0,Svalbard & Jan Mayen Islands,44.41,0
43.0,663.74,1,7.45,13.0,Liechtenstein,46.76,0
38.0,840.81,0,6.35,13.0,Niger,44.32,0
55.0,970.68,0,7.93,15.0,Haiti,43.68,0
27.0,844.01,0,7.73,13.0,Tuvalu,45.89,0
47.0,540.31,0,7.78,13.0,Colombia,43.95,0
46.0,1046.05,0,6.86,15.0,Azerbaijan,42.75,0
44.0,675.72,0,7.8,14.0,Latvia,43.04,0
43.0,837.58,0,6.29,14.0,Saint Barthelemy,44.69,0
49.0,1330.5,1,7.96,13.0,Andorra,42.56,0
40.0,993.62,0,7.03,14.0,Australia,43.46,0
49.0,847.11,0,9.03,13.0,Antarctica (the territory South of 60 deg S),42.11,0
48.0,1114.98,1,6.74,14.0,Trinidad and Tobago,43.92,0
52.0,800.64,0,6.1,14.0,United States Virgin Islands,43.45,0
39.0,866.95,0,6.82,14.0,Paraguay,44.12,0
33.0,1129.19,1,6.77,14.0,Mauritania,44.34,0
37.0,832.2,1,7.75,15.0,Libyan Arab Jamahiriya,42.24,0
52.0,942.14,1,6.95,14.0,Myanmar,45.78,0
37.0,1053.76,1,7.34,14.0,Indonesia,41.59,0
48.0,870.01,1,7.61,14.0,Antigua and Barbuda,44.98,0
35.0,699.3,1,7.51,14.0,Saint Kitts and Nevis,45.4,0
44.0,881.73,1,7.05,15.0,Reunion,43.8,0
51.0,723.94,1,6.34,13.0,Paraguay,44.27,0
41.0,760.15,0,7.63,14.0,Equatorial Guinea,41.8,0
44.0,957.05,1,6.38,13.0,United Arab Emirates,42.17,0
41.0,944.84,1,7.79,14.0,Belgium,41.73,0
33.0,834.11,0,5.79,14.0,Jamaica,44.96,0
41.0,706.51,0,7.61,14.0,French Southern Territories,44.58,0
44.0,749.63,0,7.26,14.0,Germany,42.6,0
42.0,1056.32,0,7.98,14.0,Nauru,43.92,0
45.0,584.73,1,6.56,15.0,Ukraine,41.72,0
39.0,830.06,0,7.5,14.0,Guernsey,42.7,0
44.0,794.9,1,6.27,14.0,Zimbabwe,43.39,0
52.0,951.14,0,8.66,14.0,Bulgaria,47.74,0
43.0,1039.8,1,7.08,13.0,Iraq,44.98,0
39.0,833.94,0,7.52,14.0,Svalbard & Jan Mayen Islands,46.68,0
50.0,842.78,0,6.62,15.0,United States Virgin Islands,44.69,0
37.0,746.81,0,7.93,14.0,Guinea-Bissau,43.12,0
39.0,761.91,1,6.99,14.0,Belarus,43.23,0
43.0,983.48,0,8.6,13.0,British Indian Ocean Territory (Chagos Archipelago),43.21,0
39.0,690.22,1,6.8,13.0,Guinea-Bissau,42.75,0
36.0,1060.69,1,6.26,14.0,Canada,43.86,0
42.0,729.47,0,7.95,14.0,Tuvalu,45.27,0
