A,B,C,D,Spoiled
4,2,12.0,3,1.0
5,6,12.0,7,1.0
6,2,13.0,6,1.0
4,2,12.0,1,1.0
4,2,12.0,3,1.0
10,3,13.0,9,1.0
8,5,14.0,5,1.0
5,8,12.0,8,1.0
6,5,12.0,9,1.0
3,3,12.0,1,1.0
9,8,11.0,3,1.0
1,10,12.0,3,1.0
1,5,13.0,10,1.0
2,10,12.0,6,1.0
1,10,11.0,4,1.0
5,3,12.0,2,1.0
4,9,11.0,8,1.0
5,1,11.0,1,1.0
4,9,12.0,10,1.0
5,8,10.0,9,1.0
5,7,11.0,9,1.0
4,10,13.0,8,1.0
10,5,12.0,9,1.0
2,4,13.0,4,1.0
1,4,13.0,10,1.0
1,8,12.0,1,1.0
2,10,13.0,4,1.0
6,2,12.0,4,1.0
8,2,13.0,3,1.0
6,4,12.0,2,1.0
3,2,11.0,9,1.0
10,6,12.0,10,1.0
9,5,13.0,3,1.0
9,2,12.0,5,1.0
2,6,13.0,9,1.0
4,2,12.0,10,1.0
4,3,12.0,6,1.0
7,1,12.0,1,1.0
1,7,11.0,10,1.0
9,2,11.0,10,1.0
2,6,12.0,2,1.0
9,4,11.0,5,1.0
6,2,11.0,10,1.0
3,10,11.0,4,1.0
6,9,11.0,2,1.0
10,6,11.0,9,1.0
6,7,11.0,9,1.0
7,2,13.0,8,1.0
9,2,13.0,5,1.0
8,7,12.0,6,1.0
9,1,12.0,9,1.0
3,5,14.0,3,1.0
7,1,11.0,3,1.0
5,9,12.0,7,1.0
3,10,12.0,7,1.0
9,8,13.0,9,1.0
10,9,12.0,9,1.0
10,7,11.0,2,1.0
10,3,11.0,1,1.0
2,4,11.0,8,1.0
10,3,13.0,4,1.0
5,1,14.0,8,1.0
8,8,11.0,4,1.0
4,8,14.0,1,1.0
5,1,12.0,7,1.0
6,8,11.0,2,1.0
1,1,13.0,3,1.0
9,3,12.0,10,1.0
6,1,11.0,7,1.0
7,5,10.0,1,1.0
10,2,12.0,2,1.0
2,3,13.0,1,1.0
5,8,12.0,2,1.0
10,6,12.0,10,1.0
9,1,11.0,6,1.0
10,10,14.0,7,1.0
1,5,12.0,10,1.0
10,1,11.0,2,1.0
1,1,12.0,2,1.0
10,3,13.0,7,1.0
1,6,11.0,10,1.0
9,4,12.0,3,1.0
10,9,12.0,5,1.0
10,8,11.0,2,1.0
5,3,9.0,2,1.0
3,7,12.0,10,1.0
4,9,12.0,8,1.0
5,1,11.0,2,1.0
10,9,11.0,9,1.0
10,7,11.0,6,1.0
8,2,13.0,10,1.0
7,7,11.0,3,1.0
9,10,11.0,5,1.0
5,2,12.0,8,1.0
1,1,10.0,8,1.0
5,5,12.0,8,1.0
9,6,12.0,1,1.0
4,6,12.0,2,1.0
1,1,12.0,4,1.0
9,3,11.0,10,1.0
3,2,12.0,6,1.0
2,4,11.0,9,1.0
8,1,12.0,10,1.0
10,6,11.0,6,1.0
8,9,12.0,2,1.0
2,3,12.0,3,1.0
4,6,14.0,4,1.0
3,4,12.0,4,1.0
9,5,12.0,5,1.0
10,5,13.0,2,1.0
8,2,10.0,6,1.0
10,5,11.0,2,1.0
10,1,11.0,3,1.0
7,6,13.0,3,1.0
8,9,14.0,4,1.0
8,8,14.0,7,1.0
1,9,11.0,10,1.0
2,9,10.0,3,1.0
4,9,13.0,4,1.0
10,10,12.0,7,1.0
8,9,12.0,7,1.0
9,7,12.0,1,1.0
3,6,13.0,5,1.0
4,5,12.0,3,1.0
1,7,11.0,9,1.0
4,6,12.0,9,1.0
8,10,13.0,3,1.0
5,4,12.0,5,1.0
9,4,12.0,6,1.0
3,4,12.0,5,1.0
7,7,11.0,4,1.0
6,2,12.0,6,1.0
2,8,11.0,1,1.0
4,4,10.0,3,1.0
3,7,12.0,9,1.0
10,3,12.0,7,1.0
3,1,12.0,7,1.0
2,4,13.0,10,1.0
6,3,12.0,2,1.0
7,2,14.0,4,1.0
4,2,8.0,9,0.0
4,8,9.0,1,0.0
10,8,8.0,6,0.0
8,6,9.0,4,0.0
7,2,7.0,8,0.0
3,3,9.0,5,0.0
4,10,8.0,9,0.0
4,7,10.0,7,0.0
1,7,8.0,2,0.0
10,7,8.0,5,0.0
10,5,9.0,1,0.0
5,7,10.0,10,0.0
2,8,6.0,9,0.0
4,1,7.0,5,0.0
4,6,9.0,7,0.0
2,2,9.0,8,0.0
6,7,6.0,9,0.0
5,7,7.0,2,0.0
7,1,7.0,5,0.0
8,1,8.0,3,0.0
1,6,8.0,1,0.0
4,5,9.0,8,0.0
8,10,8.0,3,0.0
4,9,8.0,2,0.0
2,9,6.0,4,0.0
8,10,8.0,9,0.0
3,6,8.0,1,0.0
5,6,9.0,8,0.0
5,2,8.0,10,0.0
9,7,6.0,7,0.0
3,8,6.0,10,0.0
3,3,8.0,9,0.0
3,4,10.0,2,0.0
6,8,8.0,9,0.0
1,4,8.0,7,0.0
6,9,7.0,10,0.0
10,6,8.0,6,0.0
9,4,7.0,10,0.0
9,2,10.0,3,0.0
6,8,8.0,6,0.0
10,5,7.0,4,0.0
4,8,8.0,7,0.0
5,6,6.0,9,0.0
2,1,10.0,7,0.0
6,4,7.0,4,0.0
6,8,9.0,4,0.0
3,3,8.0,3,0.0
3,5,10.0,6,0.0
3,3,9.0,9,0.0
7,7,8.0,9,0.0
6,8,7.0,10,0.0
7,3,7.0,7,0.0
5,7,9.0,2,0.0
4,9,8.0,10,0.0
9,9,7.0,4,0.0
6,9,6.0,1,0.0
4,2,10.0,10,0.0
8,10,8.0,3,0.0
1,7,8.0,4,0.0
3,2,9.0,1,0.0
9,9,9.0,6,0.0
4,10,5.0,4,0.0
9,3,7.0,5,0.0
9,1,9.0,3,0.0
4,6,7.0,2,0.0
4,5,8.0,5,0.0
5,7,6.0,6,0.0
10,6,9.0,3,0.0
6,6,8.0,10,0.0
3,7,9.0,7,0.0
8,10,8.0,2,0.0
5,2,8.0,3,0.0
5,7,7.0,5,0.0
10,9,8.0,2,0.0
4,4,8.0,7,0.0
1,4,9.0,6,0.0
8,2,9.0,10,0.0
9,6,9.0,5,0.0
7,6,7.0,7,0.0
1,2,9.0,4,0.0
1,8,7.0,10,0.0
6,2,8.0,9,0.0
9,5,7.0,8,0.0
8,7,8.0,6,0.0
5,7,8.0,9,0.0
8,4,9.0,1,0.0
6,1,9.0,3,0.0
9,7,8.0,9,0.0
2,9,7.0,10,0.0
2,4,8.0,5,0.0
10,3,8.0,8,0.0
7,9,8.0,8,0.0
6,6,8.0,2,0.0
1,5,8.0,10,0.0
10,1,9.0,9,0.0
8,1,9.0,2,0.0
10,9,8.0,6,0.0
5,10,7.0,1,0.0
3,6,7.0,8,0.0
4,10,10.0,5,0.0
2,1,7.0,9,0.0
9,2,9.0,9,0.0
3,9,8.0,9,0.0
2,3,6.0,9,0.0
3,9,8.0,6,0.0
10,7,9.0,1,0.0
10,10,6.0,4,0.0
8,5,9.0,5,0.0
7,2,8.0,1,0.0
7,2,8.0,9,0.0
6,9,7.0,2,0.0
1,4,9.0,3,0.0
10,9,9.0,10,0.0
4,3,8.0,8,0.0
8,7,6.0,6,0.0
5,7,8.0,3,0.0
8,6,8.0,3,0.0
3,2,6.0,10,0.0
4,2,6.0,5,0.0
10,6,8.0,7,0.0
3,6,8.0,3,0.0
2,2,8.0,1,0.0
1,9,10.0,6,0.0
9,6,8.0,7,0.0
4,5,9.0,5,0.0
3,5,8.0,6,0.0
4,5,8.0,10,0.0
9,4,9.0,4,0.0
9,4,7.0,6,0.0
7,6,8.0,10,0.0
9,10,11.0,2,0.0
3,4,9.0,5,0.0
2,10,9.0,2,0.0
10,9,8.0,2,0.0
4,6,9.0,4,0.0
4,10,7.0,10,0.0
9,1,9.0,8,0.0
3,10,8.0,6,0.0
8,5,9.0,3,0.0
8,5,7.0,5,0.0
1,8,6.0,6,0.0
8,8,6.0,8,0.0
4,8,7.0,3,0.0
9,3,8.0,7,0.0
10,8,7.0,3,0.0
2,10,6.0,4,0.0
2,5,9.0,5,0.0
10,7,9.0,4,0.0
3,10,9.0,8,0.0
9,2,7.0,3,0.0
7,4,6.0,4,0.0
3,4,8.0,7,0.0
4,7,8.0,3,0.0
10,9,8.0,10,0.0
4,6,5.0,6,0.0
10,2,9.0,7,0.0
9,8,9.0,10,0.0
7,10,8.0,2,0.0
5,5,6.0,1,0.0
8,4,7.0,6,0.0
5,5,7.0,9,0.0
7,2,9.0,9,0.0
9,4,9.0,3,0.0
5,5,7.0,3,0.0
2,7,7.0,4,0.0
4,5,9.0,8,0.0
1,8,8.0,6,0.0
5,6,9.0,5,0.0
3,6,8.0,3,0.0
7,2,9.0,5,0.0
10,9,10.0,6,0.0
4,7,10.0,6,0.0
1,9,9.0,7,0.0
1,7,7.0,2,0.0
1,9,7.0,5,0.0
2,8,9.0,4,0.0
5,4,8.0,2,0.0
1,7,7.0,6,0.0
2,1,8.0,9,0.0
2,6,9.0,4,0.0
1,6,8.0,9,0.0
1,4,8.0,5,0.0
10,6,8.0,5,0.0
6,4,6.0,4,0.0
2,1,9.0,1,0.0
8,6,9.0,10,0.0
5,6,7.0,9,0.0
10,10,7.0,1,0.0
2,9,10.0,6,0.0
9,6,10.0,2,0.0
3,5,9.0,3,0.0
5,10,8.0,3,0.0
1,3,9.0,8,0.0
8,8,8.0,7,0.0
6,1,8.0,3,0.0
4,9,9.0,2,0.0
2,9,10.0,3,0.0
1,5,8.0,5,0.0
5,6,8.0,8,0.0
6,10,9.0,2,0.0
9,6,8.0,9,0.0
1,8,8.0,7,0.0
8,2,8.0,8,0.0
3,6,8.0,5,0.0
9,2,9.0,6,0.0
7,10,5.0,6,0.0
2,5,8.0,3,0.0
9,2,10.0,7,0.0
5,9,8.0,9,0.0
1,6,8.0,3,0.0
7,4,8.0,3,0.0
8,5,8.0,5,0.0
5,9,7.0,3,0.0
9,6,8.0,5,0.0
3,1,8.0,5,0.0
5,8,9.0,9,0.0
2,5,8.0,3,0.0
5,6,8.0,6,0.0
2,5,8.0,1,0.0
6,2,11.0,10,0.0
2,6,6.0,9,0.0
4,4,6.0,8,0.0
2,7,8.0,9,0.0
5,2,7.0,9,0.0
6,10,8.0,3,0.0
4,6,7.0,5,0.0
2,8,8.0,6,0.0
6,2,8.0,3,0.0
8,10,9.0,8,0.0
5,9,8.0,5,0.0
9,2,9.0,8,0.0
5,10,8.0,6,0.0
10,6,8.0,3,0.0
6,6,9.0,6,0.0
6,3,10.0,5,0.0
1,3,8.0,5,0.0
2,3,9.0,3,0.0
2,6,8.0,8,0.0
8,4,9.0,10,0.0
8,7,6.0,7,0.0
2,6,8.0,10,0.0
7,2,9.0,3,0.0
7,9,6.0,2,0.0
2,10,8.0,8,0.0
5,2,9.0,9,0.0
2,8,9.0,10,0.0
8,4,6.0,8,0.0
7,3,10.0,7,0.0
9,9,8.0,7,0.0
8,4,8.0,1,0.0
9,2,6.0,8,0.0
8,6,8.0,2,0.0
9,7,8.0,2,0.0
4,3,9.0,6,0.0
2,1,8.0,9,0.0
9,4,7.0,9,0.0
4,2,9.0,2,0.0
10,3,8.0,2,0.0
9,2,10.0,5,0.0
10,7,7.0,7,0.0
2,3,7.0,10,0.0
10,1,7.0,4,0.0
3,3,7.0,5,0.0
10,1,7.0,4,0.0
5,4,8.0,7,0.0
7,3,7.0,8,0.0
10,9,7.0,4,0.0
5,7,8.0,9,0.0
5,9,7.0,5,0.0
4,6,7.0,5,0.0
4,2,8.0,9,0.0
8,3,7.0,4,0.0
3,5,9.0,6,0.0
4,3,8.0,10,0.0
1,6,7.0,8,0.0
8,5,8.0,6,0.0
9,10,7.0,6,0.0
8,9,8.0,1,0.0
9,10,8.0,8,0.0
3,10,8.0,2,0.0
8,10,10.0,7,0.0
2,1,10.0,7,0.0
5,10,8.0,8,0.0
4,9,7.0,7,0.0
9,3,7.0,7,0.0
5,7,8.0,6,0.0
8,7,9.0,3,0.0
2,2,7.0,8,0.0
6,6,9.0,9,0.0
4,2,8.0,4,0.0
3,9,7.0,9,0.0
7,9,6.0,5,0.0
5,3,7.0,5,0.0
4,4,9.0,1,0.0
6,9,8.0,5,0.0
10,10,8.0,1,0.0
2,6,8.0,6,0.0
10,10,9.0,5,0.0
5,9,9.0,6,0.0
3,2,8.0,9,0.0
10,10,9.0,3,0.0
4,7,9.0,4,0.0
4,4,7.0,1,0.0
5,8,8.0,5,0.0
2,3,8.0,3,0.0
6,4,9.0,2,0.0
2,9,9.0,10,0.0
3,6,8.0,2,0.0
3,2,10.0,10,0.0
2,2,8.0,1,0.0
9,6,9.0,1,0.0
6,5,6.0,2,0.0
3,6,8.0,1,0.0
3,3,8.0,6,0.0
2,10,9.0,2,0.0
8,9,8.0,9,0.0
7,4,10.0,4,0.0
6,6,7.0,8,0.0
5,3,7.0,7,0.0
6,7,7.0,6,0.0
9,1,9.0,5,0.0
10,9,9.0,1,0.0
10,4,8.0,3,0.0
1,2,9.0,1,0.0
2,1,9.0,1,0.0
6,1,7.0,9,0.0
1,5,8.0,3,0.0
2,8,8.0,4,0.0
1,8,8.0,8,0.0
3,1,9.0,7,0.0
3,9,7.0,6,0.0
8,1,7.0,4,0.0
10,4,9.0,8,0.0
2,5,7.0,6,0.0
10,6,8.0,5,0.0
6,1,9.0,7,0.0
6,10,7.0,10,0.0
2,10,8.0,3,0.0
1,4,8.0,1,0.0
8,9,9.0,4,0.0
10,10,7.0,4,0.0
8,3,7.0,9,0.0
2,2,9.0,8,0.0
9,5,10.0,10,0.0
2,2,6.0,10,0.0
8,3,6.0,6,0.0
6,4,9.0,10,0.0
1,3,8.0,3,0.0
6,6,8.0,3,0.0
1,9,7.0,4,0.0
